Model,Accuracy
LSTM,0.8501611170784104
BiLSTM,0.8539205155746509
BiGRU,0.849624060150376
Logistic Regression,0.8533834586466166
Lasso Regression,0.8388829215896885
Random Forest,0.8259935553168636
